0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:16:36 +0530] "GET /tomcat.css HTTP/1.1" 200 5576
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:16:36 +0530] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:16:36 +0530] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:16:36 +0530] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:16:36 +0530] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:16:36 +0530] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:16:36 +0530] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:16:36 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:16:36 +0530] "GET /web/ HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:16:42 +0530] "GET /web/sec/moderation.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:16:42 +0530] "GET /web/user-login.html HTTP/1.1" 200 3625
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:21:15 +0530] "GET / HTTP/1.1" 200 11217
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:21:15 +0530] "GET /tomcat.css HTTP/1.1" 200 5576
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:21:15 +0530] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:21:15 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:21:15 +0530] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:21:15 +0530] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:21:15 +0530] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:21:15 +0530] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:21:15 +0530] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:21:16 +0530] "GET /web/ HTTP/1.1" 404 959
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:21:53 +0530] "GET /web/index.html HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:22:02 +0530] "GET / HTTP/1.1" 200 11217
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:22:02 +0530] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:22:02 +0530] "GET /tomcat.css HTTP/1.1" 200 5576
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:22:02 +0530] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:22:02 +0530] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:22:02 +0530] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:22:02 +0530] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:22:02 +0530] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:22:02 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:22:03 +0530] "GET /web/ HTTP/1.1" 404 959
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:24:16 +0530] "GET / HTTP/1.1" 200 11217
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:24:17 +0530] "GET /tomcat.css HTTP/1.1" 200 5576
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:24:17 +0530] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:24:17 +0530] "GET /asf-logo.png HTTP/1.1" 200 17811
